"",""
"Action","Action"
"Add Tour","Add Tour"
"An error occurred while updating the tours.","An error occurred while updating the tours."
"Are you sure?","Are you sure?"
"Background color","Background color"
"CSV","CSV"
"Change status","Change status"
"Class name","Class name"
"Color","Color"
"Could not find tour to delete.","Could not find tour to delete."
"Created at","Created at"
"Delete Tour","Delete Tour"
"Delete","Delete"
"Disabled","Disabled"
"Edit Tour '%s'","Edit Tour '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving tour","Error saving tour"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Language","Language"
"No","No"
"None","None"
"Please select tours to delete.","Please select tours to delete."
"Please select tours.","Please select tours."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Tour","Save Tour"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"Text","Text"
"The tours has been deleted.","The tours has been deleted."
"There was a problem saving the tour.","There was a problem saving the tour."
"There was an error deleting tour.","There was an error deleting tour."
"There was an error deleting tours.","There was an error deleting tours."
"There was an error updating tours.","There was an error updating tours."
"This tour no longer exists.","This tour no longer exists."
"Time in ms","Time in ms"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tours were successfully deleted.","Total of %d tours were successfully deleted."
"Total of %d tours were successfully updated.","Total of %d tours were successfully updated."
"Tour was saved","Tour was saved"
"Tour was successfully deleted.","Tour was successfully deleted."
"Tour was successfully saved","Tour was successfully saved"
"Tour","Tour"
"Tours","Tours"
"Unable to find tour to save.","Unable to find tour to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"